ID_Transaccion,ID_Cliente,ID_Servicio,ID_Campaña,Cantidad,Total,Fecha
1,450,29,295,5,3908.9,2023-01-11
2,892,156,125,2,1922.5,2023-07-14
3,276,192,221,7,12621.28,2023-04-29
4,888,56,210,4,2769.08,2023-09-18
5,30,78,295,5,3784.1,2023-09-13
6,534,21,158,9,3290.13,2023-08-14
7,814,74,25,5,6590.9,2023-12-21
8,711,97,15,4,4779.8,2023-12-08
9,831,160,108,8,9306.56,2023-03-22
10,777,38,166,8,8441.36,2023-02-28
11,680,142,254,7,13958.42,2023-05-08
12,453,125,29,1,526.75,2023-04-25
13,933,168,2,1,876.59,2023-01-14
14,809,114,185,9,6631.83,2023-02-09
15,854,122,135,2,1518.42,2023-08-25
16,870,57,81,9,5149.17,2023-12-25
17,791,134,199,9,11711.7,2023-09-03
18,137,141,233,6,1572.96,2023-08-23
19,73,16,256,4,1777.36,2023-06-03
20,520,81,169,2,2416.88,2023-08-03
21,658,46,37,5,9428.4,2023-03-16
22,712,145,29,6,1364.7,2023-05-26
23,462,117,58,5,3668.25,2023-02-11
24,281,112,186,4,3432.44,2023-02-10
25,121,74,179,6,7909.08,2023-02-03
26,57,190,38,1,489.47,2023-06-14
27,254,50,86,9,14477.85,2023-03-17
28,542,187,255,7,11741.94,2023-04-27
29,975,117,232,6,4401.9,2023-01-27
30,538,166,122,9,5529.69,2023-10-14
31,262,55,278,6,2329.08,2023-08-07
32,737,184,215,8,4496.24,2023-04-08
33,16,65,62,9,2791.8,2023-11-05
34,998,17,291,7,1584.38,2023-06-22
35,683,191,183,1,656.98,2023-07-09
36,578,86,64,2,2427.68,2023-11-06
37,86,29,172,1,781.78,2023-11-03
38,898,70,148,5,1924.2,2023-10-19
39,824,195,79,3,1484.94,2023-10-09
40,589,47,284,5,6463.25,2023-09-24
41,910,46,187,8,15085.44,2023-01-11
42,513,52,140,4,4454.32,2023-04-23
43,912,47,142,7,9048.55,2023-08-20
44,845,181,124,3,4020.66,2023-11-06
45,766,37,266,2,3040.92,2023-02-24
46,982,161,242,8,3159.68,2023-09-03
47,838,185,47,6,8833.86,2023-03-10
48,682,21,138,8,2924.56,2023-10-16
49,698,14,25,4,5954.6,2023-08-27
50,571,184,82,4,2248.12,2023-08-15
51,528,113,87,4,816.2,2023-12-03
52,532,177,52,2,274.9,2023-07-20
53,69,67,284,2,684.46,2023-03-14
54,27,154,175,9,2023.65,2023-10-23
55,39,64,209,1,1660.39,2023-05-09
56,716,155,283,9,14161.5,2023-03-02
57,800,76,277,8,9049.44,2023-02-11
58,729,102,112,9,16727.22,2023-02-08
59,45,118,281,3,2569.56,2023-05-11
60,888,41,134,2,1658.78,2023-08-17
61,759,138,136,3,5778.09,2023-04-12
62,305,139,73,2,764.92,2023-01-12
63,308,30,264,3,5300.04,2023-04-11
64,640,61,200,1,1548.67,2023-01-17
65,638,86,156,9,10924.56,2023-11-07
66,777,9,65,1,762.85,2023-10-30
67,401,162,49,8,3565.28,2023-12-05
68,6,116,35,8,870.4,2023-05-29
69,18,183,232,1,288.94,2023-08-03
70,602,170,253,5,1983.45,2023-07-17
71,338,33,191,8,7474.88,2023-01-25
72,108,11,12,2,3356.36,2023-03-30
73,951,7,263,9,8963.91,2023-12-31
74,425,151,64,7,1186.08,2023-10-09
75,472,71,100,5,2677.9,2023-03-27
76,541,126,204,7,6717.48,2023-09-27
77,613,122,150,5,3796.05,2023-01-07
78,690,44,203,9,11574.45,2023-06-25
79,412,194,267,8,2099.76,2023-11-11
80,939,163,171,7,12161.73,2023-03-23
81,5,150,105,4,1849.24,2023-04-13
82,12,191,214,1,656.98,2023-01-14
83,224,60,138,8,9462.32,2023-04-18
84,911,13,61,2,672.32,2023-05-11
85,368,85,225,5,1956.85,2023-06-20
86,96,2,84,8,13110.08,2023-07-02
87,263,131,107,7,12867.47,2023-12-30
88,489,175,204,7,3773.28,2023-01-15
89,708,163,42,8,13899.12,2023-01-04
90,138,53,131,6,10790.4,2023-07-29
91,762,137,202,1,438.27,2023-01-16
92,739,74,246,2,2636.36,2023-11-07
93,16,102,111,3,5575.74,2023-06-19
94,364,142,13,2,3988.12,2023-09-08
95,494,75,17,7,9929.5,2023-09-26
96,744,2,182,2,3277.52,2023-04-06
97,120,8,61,3,2647.5,2023-02-08
98,486,179,174,4,6479.36,2023-01-29
99,207,69,237,1,1614.86,2023-11-14
100,143,62,165,5,8829.25,2023-08-24
101,593,139,59,9,3442.14,2023-09-29
102,476,42,4,8,9062.0,2023-08-24
103,684,63,241,9,6749.64,2023-09-23
104,916,126,181,9,8636.76,2023-12-25
105,890,35,84,4,3916.36,2023-03-06
106,306,192,110,1,1803.04,2023-01-03
107,963,89,31,8,1075.28,2023-06-07
108,660,93,258,2,2847.28,2023-11-20
109,488,104,227,2,630.3,2023-10-20
110,964,177,213,9,1237.05,2023-07-12
111,684,7,170,5,4979.95,2023-03-14
112,252,42,210,1,1132.75,2023-12-10
113,378,25,97,4,1648.44,2023-05-20
114,549,181,32,5,6701.1,2023-03-02
115,508,138,35,5,9630.15,2023-07-17
116,659,107,53,7,2358.02,2023-11-15
117,916,188,229,8,6837.2,2023-01-11
118,967,41,196,2,1658.78,2023-06-02
119,827,49,186,7,2552.34,2023-02-21
120,838,12,21,4,7734.2,2023-02-28
121,331,140,116,8,7102.32,2023-05-28
122,707,183,57,6,1733.64,2023-08-31
123,958,156,189,2,1922.5,2023-11-09
124,23,80,117,9,16434.54,2023-08-29
125,543,133,45,3,3609.36,2023-09-19
126,187,29,65,5,3908.9,2023-09-18
127,474,48,65,6,4417.92,2023-02-16
128,176,77,158,7,4048.94,2023-06-26
129,998,180,163,9,3953.07,2023-04-09
130,536,35,262,4,3916.36,2023-08-29
131,368,173,272,3,454.44,2023-06-27
132,826,100,248,2,2998.48,2023-03-03
133,222,130,157,1,895.96,2023-08-04
134,684,72,282,3,4416.84,2023-06-09
135,278,36,71,3,2017.86,2023-09-26
136,340,87,282,8,8489.52,2023-03-30
137,84,2,115,9,14748.84,2023-03-09
138,704,144,286,5,6156.15,2023-04-08
139,725,96,115,9,3508.38,2023-11-19
140,343,187,83,9,15096.78,2023-07-14
141,850,4,184,9,12553.74,2023-08-14
142,183,50,56,9,14477.85,2023-02-09
143,521,61,241,9,13938.03,2023-09-18
144,989,6,247,2,2463.42,2023-05-04
145,112,146,264,6,9149.52,2023-11-24
146,994,152,284,5,4984.65,2023-06-25
147,379,131,166,2,3676.42,2023-02-06
148,880,138,218,5,9630.15,2023-03-22
149,777,103,79,2,1913.18,2023-02-09
150,996,82,27,3,2584.86,2023-07-05
151,427,16,160,3,1333.02,2023-02-25
152,54,103,126,8,7652.72,2023-12-20
153,380,73,93,8,11744.56,2023-12-13
154,349,113,190,1,204.05,2023-09-19
155,543,68,148,8,6838.8,2023-05-27
156,221,97,79,8,9559.6,2023-04-02
157,814,165,298,1,809.29,2023-02-28
158,33,199,153,9,8106.39,2023-09-26
159,783,143,108,9,9487.53,2023-06-30
160,200,189,218,4,5477.44,2023-07-10
161,873,120,158,6,11086.38,2023-07-07
162,617,29,268,7,5472.46,2023-05-13
163,72,149,135,9,4407.93,2023-01-31
164,771,200,156,7,12572.56,2023-06-09
165,701,144,166,5,6156.15,2023-06-07
166,997,114,12,7,5158.09,2023-03-23
167,322,150,72,4,1849.24,2023-09-15
168,212,72,87,7,10305.96,2023-08-12
169,434,47,17,1,1292.65,2023-08-21
170,200,59,267,1,163.71,2023-12-26
171,464,100,192,2,2998.48,2023-07-07
172,288,60,186,8,9462.32,2023-12-31
173,606,92,214,3,3521.25,2023-11-22
174,380,192,117,3,5409.12,2023-03-15
175,573,27,82,9,12274.83,2023-08-12
176,573,168,109,2,1753.18,2023-11-15
177,717,170,11,5,1983.45,2023-10-05
178,290,36,256,4,2690.48,2023-12-18
179,426,200,78,4,7184.32,2023-08-30
180,571,135,110,4,499.52,2023-08-07
181,208,11,42,1,1678.18,2023-01-12
182,296,176,117,6,8259.6,2023-07-12
183,1000,5,212,6,9266.58,2023-04-30
184,77,172,154,2,2703.92,2023-11-02
185,302,86,283,4,4855.36,2023-09-08
186,157,148,34,3,5418.9,2023-01-07
187,94,191,165,1,656.98,2023-05-14
188,941,141,102,3,786.48,2023-02-27
189,732,142,105,7,13958.42,2023-01-26
190,354,22,89,2,3222.02,2023-08-14
191,721,119,196,4,4484.2,2023-04-09
192,413,54,230,9,14384.97,2023-02-08
193,723,86,166,7,8496.88,2023-10-12
194,48,176,117,4,5506.4,2023-10-15
195,730,4,3,2,2789.72,2023-06-24
196,242,64,255,4,6641.56,2023-01-22
197,32,164,228,3,5692.86,2023-12-03
198,553,127,246,8,2941.04,2023-04-02
199,106,24,23,5,2054.75,2023-10-30
200,560,46,275,5,9428.4,2023-03-25
201,279,99,20,6,5435.1,2023-05-27
202,358,21,11,9,3290.13,2023-09-14
203,66,131,214,6,11029.26,2023-01-15
204,753,84,250,2,3799.68,2023-06-12
205,170,129,135,1,1046.9,2023-10-08
206,586,117,57,8,5869.2,2023-01-12
207,183,71,5,2,1071.16,2023-09-28
208,580,46,94,8,15085.44,2023-03-01
209,592,75,152,9,12766.5,2023-05-25
210,173,121,127,5,3790.3,2023-01-08
211,489,63,276,2,1499.92,2023-07-18
212,570,15,180,3,5648.55,2023-12-15
213,497,147,169,5,2494.1,2023-01-24
214,849,31,91,3,2536.95,2023-02-15
215,543,74,266,9,11863.62,2023-08-10
216,434,180,40,7,3074.61,2023-09-30
217,916,91,34,4,7484.08,2023-08-16
218,753,33,157,9,8409.24,2023-06-15
219,157,134,146,9,11711.7,2023-11-15
220,749,27,297,6,8183.22,2023-04-27
221,255,174,135,2,1043.5,2023-12-10
222,550,23,236,8,3864.72,2023-03-05
223,587,149,278,1,489.77,2023-03-13
224,301,96,3,5,1949.1,2023-10-01
225,890,150,226,2,924.62,2023-04-05
226,710,167,296,6,7941.6,2023-02-01
227,628,26,235,9,14829.21,2023-10-16
228,854,172,210,6,8111.76,2023-09-24
229,499,95,207,6,8662.5,2023-06-28
230,820,28,20,8,8750.56,2023-02-10
231,576,186,199,1,1725.82,2023-03-17
232,603,115,280,9,14628.78,2023-02-15
233,493,191,65,6,3941.88,2023-03-27
234,838,108,85,4,7398.4,2023-06-10
235,137,142,83,8,15952.48,2023-08-30
236,646,72,224,1,1472.28,2023-01-02
237,145,178,33,1,297.81,2023-10-16
238,806,165,168,9,7283.61,2023-03-18
239,830,4,282,4,5579.44,2023-06-03
240,166,173,262,6,908.88,2023-04-13
241,23,62,165,2,3531.7,2023-06-15
242,311,139,212,7,2677.22,2023-03-31
243,97,194,75,2,524.94,2023-05-23
244,237,44,45,2,2572.1,2023-04-16
245,914,51,163,7,8946.98,2023-11-01
246,497,48,122,8,5890.56,2023-11-13
247,845,183,180,3,866.82,2023-05-03
248,530,169,289,6,889.38,2023-01-09
249,535,47,233,6,7755.9,2023-03-14
250,323,66,90,7,11957.82,2023-08-11
251,836,28,174,9,9844.38,2023-07-23
252,297,57,14,8,4577.04,2023-11-24
253,324,83,178,2,1955.62,2023-12-14
254,37,159,220,4,3445.8,2023-11-14
255,837,139,86,7,2677.22,2023-03-25
256,255,179,238,4,6479.36,2023-11-10
257,265,152,46,6,5981.58,2023-01-03
258,187,13,3,9,3025.44,2023-07-07
259,80,163,128,2,3474.78,2023-01-12
260,454,145,105,7,1592.15,2023-01-12
261,93,145,211,9,2047.05,2023-10-28
262,310,130,207,3,2687.88,2023-05-02
263,406,122,283,3,2277.63,2023-02-24
264,859,188,90,4,3418.6,2023-06-22
265,756,132,283,8,6308.4,2023-08-09
266,305,74,205,7,9227.26,2023-11-05
267,660,149,189,7,3428.39,2023-10-15
268,6,87,278,3,3183.57,2023-10-27
269,695,131,186,2,3676.42,2023-07-30
270,384,74,287,6,7909.08,2023-02-06
271,302,76,76,8,9049.44,2023-12-27
272,590,150,229,3,1386.93,2023-07-21
273,201,65,190,3,930.6,2023-02-04
274,478,111,40,6,7340.52,2023-07-26
275,465,169,34,1,148.23,2023-11-28
276,804,171,82,1,1460.35,2023-12-16
277,478,184,96,5,2810.15,2023-06-08
278,274,47,151,8,10341.2,2023-10-20
279,548,11,262,4,6712.72,2023-08-08
280,882,110,211,4,4343.16,2023-06-01
281,913,122,11,2,1518.42,2023-06-26
282,897,169,247,3,444.69,2023-04-06
283,749,171,184,9,13143.15,2023-09-07
284,58,59,218,5,818.55,2023-12-20
285,746,115,300,4,6501.68,2023-03-07
286,634,91,233,2,3742.04,2023-09-19
287,273,110,176,7,7600.53,2023-08-31
288,235,81,174,3,3625.32,2023-07-05
289,448,34,222,6,4897.14,2023-05-05
290,670,103,180,3,2869.77,2023-08-25
291,234,13,271,2,672.32,2023-02-09
292,62,110,189,5,5428.95,2023-08-13
293,675,34,133,3,2448.57,2023-10-09
294,821,34,196,8,6529.52,2023-04-10
295,958,198,194,7,8454.46,2023-10-25
296,334,200,287,2,3592.16,2023-10-20
297,676,167,44,5,6618.0,2023-02-10
298,582,157,190,6,6578.04,2023-11-12
299,307,198,85,8,9662.24,2023-08-19
300,868,91,299,9,16839.18,2023-03-25
301,12,85,112,2,782.74,2023-08-19
302,293,11,164,6,10069.08,2023-05-25
303,338,27,112,9,12274.83,2023-01-28
304,799,20,234,2,3398.94,2023-06-12
305,650,183,176,5,1444.7,2023-09-18
306,78,39,160,1,541.2,2023-06-13
